[29Nov2024 00:00:00.302] [Server thread/INFO] [com.willr27.blocklings.Blocklings/]: Creating trees list.
[29Nov2024 00:00:19.632] [Server thread/INFO] [net.minecraftforge.common.AdvancementLoadFix/]: Using new advancement loading for net.minecraft.advancements.PlayerAdvancements@79ced8b5
[29Nov2024 00:00:19.704] [Server thread/INFO] [net.minecraft.server.management.PlayerList/]: ATT_CANNIVAL[/127.97.139.157:41829] logged in with entity id 864 at (470.12545977768156, 112.4407950423101, -140.1728204007834)
[29Nov2024 00:00:19.839] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: ATT_CANNIVAL joined the game
[29Nov2024 00:00:19.846] [Server thread/INFO] [tac/]: PENDING
[29Nov2024 00:00:20.157] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@6ecd4bf7 (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.158] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@6b32e012 (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.159] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardInfoActionArgument@5b110777 (class chanceCubes.commands.RewardInfoActionArgument) - will not be sent to client!
[29Nov2024 00:00:20.159] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@791d8eec (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.161] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize jackiecrazy.wardance.command.SkillArgument@56588ce4 (class jackiecrazy.wardance.command.SkillArgument) - will not be sent to client!
[29Nov2024 00:00:20.162] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@30120839 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.163] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@40ed3989 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.163] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@393481b8 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.172] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:general'
[29Nov2024 00:00:20.173] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:item_values'
[29Nov2024 00:00:20.173] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:commands'
[29Nov2024 00:00:20.176] [Server thread/INFO] [net.mcreator.tmtmcoresandmore.TmtmcoresandmoreMod/]: TmTmc-OresAndMore loaded
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:72]: enable_welcome: true
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:73]: welcome_message: Welcome to our server 
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:74]: enable_all_ores: true
[29Nov2024 00:00:20.179] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:75]: enable_all_ingots: true
[29Nov2024 00:00:20.180] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:76]: enable_all_blocks: true
[29Nov2024 00:00:20.180] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:77]: enable_all_armors: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:78]: enable_all_swords_bows: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:79]: enable_all_foods: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:80]: enable_all_paintings: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:81]: enable_all_poisons: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:82]: enable_all_powders: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:83]: enable_all_tools: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:84]: enable_all_recipes: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:85]: enable_all_advancements: true
[29Nov2024 00:00:20.234] [Server thread/INFO] [io.github.lightman314.lightmanscurrency.LightmansCurrency/]: Reloading ATM Data
[29Nov2024 00:00:20.297] [Server thread/INFO] [structurize/]: New Server UUID 19b458ed-ae09-4eec-814e-3164a5e78aad
[29Nov2024 00:00:20.432] [Thread-13/INFO] [chancecubes/]: No custom rewards detected for the current user!
[29Nov2024 00:00:20.838] [Server thread/INFO] [com.alrex.parcool.ParCool/]: Limitation of fc7b24d9-b9a0-37fe-a22c-1653103fa143 was loaded
[29Nov2024 00:03:18.894] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2200, l='ServerLevel[world]', x=565.00, y=58.00, z=-166.00]
[29Nov2024 00:03:18.907] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2231, l='ServerLevel[world]', x=599.00, y=51.00, z=-213.00]
[29Nov2024 00:03:18.908] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2232, l='ServerLevel[world]', x=597.00, y=36.00, z=-197.00]
[29Nov2024 00:03:18.908] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2233, l='ServerLevel[world]', x=565.30, y=51.46, z=-194.46]
[29Nov2024 00:03:18.908] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2234, l='ServerLevel[world]', x=605.00, y=48.00, z=-183.00]
[29Nov2024 00:03:18.909] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2235, l='ServerLevel[world]', x=558.00, y=54.00, z=-204.00]
[29Nov2024 00:03:18.909] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2236, l='ServerLevel[world]', x=556.00, y=56.00, z=-198.00]
[29Nov2024 00:03:18.910] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2237, l='ServerLevel[world]', x=588.00, y=42.00, z=-214.00]
[29Nov2024 00:03:18.910] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2238, l='ServerLevel[world]', x=567.00, y=39.00, z=-205.00]
[29Nov2024 00:03:18.910] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2239, l='ServerLevel[world]', x=581.00, y=48.00, z=-202.00]
[29Nov2024 00:03:18.911] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2240, l='ServerLevel[world]', x=565.00, y=61.00, z=-202.00]
[29Nov2024 00:03:18.911] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2241, l='ServerLevel[world]', x=601.00, y=57.00, z=-170.00]
[29Nov2024 00:03:18.912] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2242, l='ServerLevel[world]', x=568.00, y=51.00, z=-196.00]
[29Nov2024 00:03:18.912] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2243, l='ServerLevel[world]', x=569.00, y=51.00, z=-195.00]
[29Nov2024 00:03:18.913] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2244, l='ServerLevel[world]', x=577.00, y=49.00, z=-223.00]
[29Nov2024 00:03:18.913] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Poppy'/2245, l='ServerLevel[world]', x=568.52, y=64.49, z=-217.32]
[29Nov2024 00:03:18.914] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2246, l='ServerLevel[world]', x=589.00, y=57.00, z=-233.00]
[29Nov2024 00:03:18.914] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2247, l='ServerLevel[world]', x=597.00, y=46.00, z=-228.00]
[29Nov2024 00:03:18.915] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2248, l='ServerLevel[world]', x=553.00, y=51.00, z=-180.00]
[29Nov2024 00:03:18.915] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2249, l='ServerLevel[world]', x=603.00, y=45.00, z=-224.00]
[29Nov2024 00:03:18.916] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2250, l='ServerLevel[world]', x=623.00, y=55.00, z=-177.00]
[29Nov2024 00:03:18.917] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2251, l='ServerLevel[world]', x=589.00, y=55.00, z=-200.00]
[29Nov2024 00:03:18.917] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2252, l='ServerLevel[world]', x=561.51, y=53.71, z=-167.42]
[29Nov2024 00:03:18.918] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2253, l='ServerLevel[world]', x=562.72, y=53.36, z=-167.41]
[29Nov2024 00:03:18.918] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2254, l='ServerLevel[world]', x=571.00, y=39.00, z=-209.00]
[29Nov2024 00:03:18.919] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2255, l='ServerLevel[world]', x=605.00, y=55.00, z=-221.00]
[29Nov2024 00:03:18.920] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Poppy'/2256, l='ServerLevel[world]', x=564.56, y=64.49, z=-220.74]
[29Nov2024 00:03:18.920] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2257, l='ServerLevel[world]', x=562.74, y=47.34, z=-221.30]
[29Nov2024 00:03:18.921] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2258, l='ServerLevel[world]', x=562.27, y=48.61, z=-221.41]
[29Nov2024 00:03:18.921] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Salt'/2259, l='ServerLevel[world]', x=562.44, y=48.71, z=-222.66]
[29Nov2024 00:03:18.922] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2260, l='ServerLevel[world]', x=549.00, y=53.00, z=-218.00]
[29Nov2024 00:03:18.923] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2261, l='ServerLevel[world]', x=572.00, y=58.00, z=-243.00]
[29Nov2024 00:03:18.923] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2262, l='ServerLevel[world]', x=577.00, y=57.00, z=-181.00]
[29Nov2024 00:03:18.924] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Poppy'/2263, l='ServerLevel[world]', x=586.65, y=64.50, z=-223.53]
[29Nov2024 00:03:18.924] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2264, l='ServerLevel[world]', x=571.00, y=44.00, z=-187.00]
[29Nov2024 00:03:18.925] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2265, l='ServerLevel[world]', x=586.00, y=58.00, z=-200.00]
[29Nov2024 00:03:18.925] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2266, l='ServerLevel[world]', x=568.00, y=50.00, z=-216.00]
[29Nov2024 00:03:18.926] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2267, l='ServerLevel[world]', x=586.00, y=47.00, z=-187.00]
[29Nov2024 00:03:18.926] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2268, l='ServerLevel[world]', x=592.00, y=57.00, z=-162.00]
